ordering_levels,total_samples,jt_statistic,jt_pvalue,supports_expected,expected_direction,finding,trend_variable,trend_label,value_variable,value_label,scenario,rule_count,model_id,model_name
"0,1,2,3",4,1.5,0.23788105947026486,False,decreasing,No significant monotonic decreasing trend detected (p=0.238).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,1,13,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,0.5,0.09195402298850575,False,decreasing,No significant monotonic decreasing trend detected (p=0.092).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,1,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,0.5,0.09745127436281859,False,decreasing,No significant monotonic decreasing trend detected (p=0.0975).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,1,-2,llama 3.1 (8 B)
"0,1,2,3",4,1.0,0.1724137931034483,False,decreasing,No significant monotonic decreasing trend detected (p=0.172).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,1,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,2.5,0.4782608695652174,False,decreasing,No significant monotonic decreasing trend detected (p=0.478).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,1,-4,gpt-oss (20.9 B)
"0,1,2,3",4,2.5,0.4942528735632184,False,decreasing,No significant monotonic decreasing trend detected (p=0.494).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,2,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,0.5,0.09195402298850575,False,decreasing,No significant monotonic decreasing trend detected (p=0.092).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,2,-2,llama 3.1 (8 B)
"0,1,2,3",4,0.5,0.08695652173913043,False,decreasing,No significant monotonic decreasing trend detected (p=0.087).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,2,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,1.0,0.16091954022988506,False,decreasing,No significant monotonic decreasing trend detected (p=0.161).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,2,-4,gpt-oss (20.9 B)
"0,1,2,3",4,1.0,0.15742128935532235,False,decreasing,No significant monotonic decreasing trend detected (p=0.157).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,3,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,3.0,0.655672163918041,False,decreasing,No significant monotonic decreasing trend detected (p=0.656).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,3,-2,llama 3.1 (8 B)
"0,1,2,3",4,0.5,0.07746126936531735,False,decreasing,No significant monotonic decreasing trend detected (p=0.0775).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,3,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,1.5,0.23138430784607697,False,decreasing,No significant monotonic decreasing trend detected (p=0.231).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,3,-4,gpt-oss (20.9 B)
"0,1,2,3",4,1.5,0.2448775612193903,False,decreasing,No significant monotonic decreasing trend detected (p=0.245).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,4,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,0.5,0.09345327336331834,False,decreasing,No significant monotonic decreasing trend detected (p=0.0935).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,4,-2,llama 3.1 (8 B)
"0,1,2,3",4,0.5,0.09095452273863068,False,decreasing,No significant monotonic decreasing trend detected (p=0.091).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,4,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,1.5,0.24887556221889057,False,decreasing,No significant monotonic decreasing trend detected (p=0.249).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,4,-4,gpt-oss (20.9 B)
"0,1,2,3",4,1.5,0.2518740629685157,False,decreasing,No significant monotonic decreasing trend detected (p=0.252).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,5,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,1.0,0.16091954022988506,False,decreasing,No significant monotonic decreasing trend detected (p=0.161).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,5,-2,llama 3.1 (8 B)
"0,1,2,3",4,0.5,0.07746126936531735,False,decreasing,No significant monotonic decreasing trend detected (p=0.0775).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,5,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,1.5,0.2463768115942029,False,decreasing,No significant monotonic decreasing trend detected (p=0.246).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,5,-4,gpt-oss (20.9 B)
"0,1,2,3",4,1.5,0.2433783108445777,False,decreasing,No significant monotonic decreasing trend detected (p=0.243).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,6,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,1.0,0.17541229385307347,False,decreasing,No significant monotonic decreasing trend detected (p=0.175).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,6,-2,llama 3.1 (8 B)
"0,1,2,3",4,1.5,0.26636681659170414,False,decreasing,No significant monotonic decreasing trend detected (p=0.266).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,6,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,1.5,0.25737131434282856,False,decreasing,No significant monotonic decreasing trend detected (p=0.257).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,6,-4,gpt-oss (20.9 B)
"0,1,2,3",4,1.5,0.25487256371814093,False,decreasing,No significant monotonic decreasing trend detected (p=0.255).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,7,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,1.0,0.18040979510244878,False,decreasing,No significant monotonic decreasing trend detected (p=0.18).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,7,-2,llama 3.1 (8 B)
"0,1,2,3",4,0.5,0.07896051974012994,False,decreasing,No significant monotonic decreasing trend detected (p=0.079).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,7,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,1.5,0.2588705647176412,False,decreasing,No significant monotonic decreasing trend detected (p=0.259).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,7,-4,gpt-oss (20.9 B)
"0,1,2,3",4,1.5,0.2353823088455772,False,decreasing,No significant monotonic decreasing trend detected (p=0.235).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,8,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,0.5,0.07746126936531735,False,decreasing,No significant monotonic decreasing trend detected (p=0.0775).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,8,-2,llama 3.1 (8 B)
"0,1,2,3",4,0.5,0.07746126936531735,False,decreasing,No significant monotonic decreasing trend detected (p=0.0775).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,8,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,1.0,0.1664167916041979,False,decreasing,No significant monotonic decreasing trend detected (p=0.166).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,8,-4,gpt-oss (20.9 B)
"0,1,2,3",4,1.5,0.2588705647176412,False,decreasing,No significant monotonic decreasing trend detected (p=0.259).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,9,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,1.0,0.15242378810594703,False,decreasing,No significant monotonic decreasing trend detected (p=0.152).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,9,-2,llama 3.1 (8 B)
"0,1,2,3",4,1.0,0.15692153923038482,False,decreasing,No significant monotonic decreasing trend detected (p=0.157).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,9,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,0.5,0.08845577211394302,False,decreasing,No significant monotonic decreasing trend detected (p=0.0885).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,9,-4,gpt-oss (20.9 B)
"0,1,2,3",4,1.0,0.16141929035482258,False,decreasing,No significant monotonic decreasing trend detected (p=0.161).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,10,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,0.5,0.09245377311344327,False,decreasing,No significant monotonic decreasing trend detected (p=0.0925).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,10,-2,llama 3.1 (8 B)
"0,1,2,3",4,0.5,0.09945027486256872,False,decreasing,No significant monotonic decreasing trend detected (p=0.0995).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,10,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,1.5,0.23588205897051473,False,decreasing,No significant monotonic decreasing trend detected (p=0.236).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,10,-4,gpt-oss (20.9 B)
"0,1,2,3",4,1.0,0.1629185407296352,False,decreasing,No significant monotonic decreasing trend detected (p=0.163).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,11,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,0.5,0.079960019990005,False,decreasing,No significant monotonic decreasing trend detected (p=0.08).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,11,-2,llama 3.1 (8 B)
"0,1,2,3",4,0.5,0.079960019990005,False,decreasing,No significant monotonic decreasing trend detected (p=0.08).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,11,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,2.0,0.335832083958021,False,decreasing,No significant monotonic decreasing trend detected (p=0.336).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,11,-4,gpt-oss (20.9 B)
"0,1,2,3",4,0.5,0.08295852073963018,False,decreasing,No significant monotonic decreasing trend detected (p=0.083).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,12,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,0.5,0.07896051974012994,False,decreasing,No significant monotonic decreasing trend detected (p=0.079).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,12,-2,llama 3.1 (8 B)
"0,1,2,3",4,0.5,0.07396301849075462,False,decreasing,No significant monotonic decreasing trend detected (p=0.074).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,12,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,1.5,0.25737131434282856,False,decreasing,No significant monotonic decreasing trend detected (p=0.257).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,12,-4,gpt-oss (20.9 B)
"0,1,2,3",4,0.5,0.08745627186406797,False,decreasing,No significant monotonic decreasing trend detected (p=0.0875).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,13,-1,llama 3.2 (3.2 B)
"0,1,2,3",4,0.5,0.07496251874062969,False,decreasing,No significant monotonic decreasing trend detected (p=0.075).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,13,-2,llama 3.1 (8 B)
"0,1,2,3",4,0.5,0.08945527236381809,False,decreasing,No significant monotonic decreasing trend detected (p=0.0895).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,13,-3,mistral-nemo (12.2 B)
"0,1,2,3",4,3.5,0.7461269365317341,False,decreasing,No significant monotonic decreasing trend detected (p=0.746).,example_count,example count,dag_graph_edit_distance,DAG Graph Edit Distance,2,13,-4,gpt-oss (20.9 B)
