ordering_levels,total_samples,jt_statistic,jt_pvalue,supports_expected,expected_direction,finding,trend_variable,trend_label,value_variable,value_label,scenario,example_count,model_id,model_name
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,42.0,0.7416291854072964,False,increasing,No significant monotonic increasing trend detected (p=0.742).,rule_count,rule count,edge_coverage,Dependency Coverage (Recall),1,3,-4,gpt-oss (20.9 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,48.0,0.9440279860069966,False,increasing,No significant monotonic increasing trend detected (p=0.944).,rule_count,rule count,edge_coverage,Dependency Coverage (Recall),2,0,-1,llama 3.2 (3.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,30.0,0.12493753123438281,False,increasing,No significant monotonic increasing trend detected (p=0.125).,rule_count,rule count,edge_coverage,Dependency Coverage (Recall),2,0,-2,llama 3.1 (8 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,50.0,0.9790104947526237,False,increasing,No significant monotonic increasing trend detected (p=0.979).,rule_count,rule count,edge_coverage,Dependency Coverage (Recall),2,0,-3,mistral-nemo (12.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,33.0,0.06896551724137931,False,increasing,No significant monotonic increasing trend detected (p=0.069).,rule_count,rule count,edge_coverage,Dependency Coverage (Recall),2,0,-4,gpt-oss (20.9 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,21.0,0.011494252873563218,True,increasing,Evidence for increasing Dependency Coverage (Recall) with higher rule count (p=0.0115).,rule_count,rule count,edge_coverage,Dependency Coverage (Recall),2,1,-1,llama 3.2 (3.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,33.0,0.23738130934532733,False,increasing,No significant monotonic increasing trend detected (p=0.237).,rule_count,rule count,edge_coverage,Dependency Coverage (Recall),2,1,-2,llama 3.1 (8 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,46.0,0.8360819590204898,False,increasing,No significant monotonic increasing trend detected (p=0.836).,rule_count,rule count,edge_coverage,Dependency Coverage (Recall),2,1,-3,mistral-nemo (12.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,39.0,0.5157421289355323,False,increasing,No significant monotonic increasing trend detected (p=0.516).,rule_count,rule count,edge_coverage,Dependency Coverage (Recall),2,1,-4,gpt-oss (20.9 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,31.0,0.08295852073963018,False,increasing,No significant monotonic increasing trend detected (p=0.083).,rule_count,rule count,edge_coverage,Dependency Coverage (Recall),2,2,-1,llama 3.2 (3.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,35.0,0.23288355822088955,False,increasing,No significant monotonic increasing trend detected (p=0.233).,rule_count,rule count,edge_coverage,Dependency Coverage (Recall),2,2,-2,llama 3.1 (8 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,43.0,0.855072463768116,False,increasing,No significant monotonic increasing trend detected (p=0.855).,rule_count,rule count,edge_coverage,Dependency Coverage (Recall),2,2,-4,gpt-oss (20.9 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,27.0,0.043478260869565216,True,increasing,Evidence for increasing Dependency Coverage (Recall) with higher rule count (p=0.0435).,rule_count,rule count,edge_coverage,Dependency Coverage (Recall),2,3,-1,llama 3.2 (3.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,33.0,0.08445777111444278,False,increasing,No significant monotonic increasing trend detected (p=0.0845).,rule_count,rule count,edge_coverage,Dependency Coverage (Recall),2,3,-4,gpt-oss (20.9 B)
