metric,metric_display,test,trend,aspect,total_strata,combined_z_stat,two_tailed_p,one_sided_p_value,supports_expected,expected_direction,finding,scenario,example_count,model_id,model_name,jt_statistic,jt_pvalue,rule_count
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,rule_count,rule_count_vs_dag_graph_edit_distance,,,,,True,decreasing,Evidence for decreasing DAG Graph Edit Distance with higher rule count (p=0.0275).,2.0,1.0,-3,mistral-nemo (12.2 B),26.0,0.027486256871564217,
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,rule_count,rule_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.503).,2.0,1.0,-4,gpt-oss (20.9 B),39.0,0.5032483758120939,
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,rule_count,rule_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.057).,2.0,2.0,-1,llama 3.2 (3.2 B),30.5,0.05697151424287856,
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,rule_count,rule_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.228).,2.0,2.0,-2,llama 3.1 (8 B),35.0,0.2283858070964518,
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,rule_count,rule_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.954).,2.0,2.0,-4,gpt-oss (20.9 B),49.0,0.9535232383808095,
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,rule_count,rule_count_vs_dag_graph_edit_distance,,,,,True,decreasing,Evidence for decreasing DAG Graph Edit Distance with higher rule count (p=0.0265).,2.0,3.0,-1,llama 3.2 (3.2 B),25.0,0.026486756621689155,
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,rule_count,rule_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.545).,2.0,3.0,-2,llama 3.1 (8 B),39.0,0.544727636181909,
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,rule_count,rule_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.238).,2.0,3.0,-4,gpt-oss (20.9 B),33.5,0.23788105947026486,
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.071).,1.0,,-1,llama 3.2 (3.2 B),0.5,0.07096451774112944,1.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.38).,1.0,,-2,llama 3.1 (8 B),2.0,0.3798100949525237,1.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.243).,1.0,,-3,mistral-nemo (12.2 B),1.5,0.2433783108445777,1.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.245).,1.0,,-4,gpt-oss (20.9 B),1.5,0.2448775612193903,1.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.085).,1.0,,-1,llama 3.2 (3.2 B),0.5,0.08495752123938032,2.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.374).,1.0,,-2,llama 3.1 (8 B),2.0,0.3743128435782109,2.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.169).,1.0,,-4,gpt-oss (20.9 B),1.0,0.16891554222888555,2.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.0785).,1.0,,-1,llama 3.2 (3.2 B),0.5,0.07846076961519241,3.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.089).,1.0,,-2,llama 3.1 (8 B),0.5,0.08895552223888056,3.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.243).,1.0,,-3,mistral-nemo (12.2 B),1.5,0.2433783108445777,3.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.258).,1.0,,-4,gpt-oss (20.9 B),1.5,0.25787106446776614,3.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.081).,1.0,,-1,llama 3.2 (3.2 B),0.5,0.08095952023988005,4.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,True,decreasing,Evidence for decreasing DAG Graph Edit Distance with higher example count (p=0.04).,1.0,,-2,llama 3.1 (8 B),0.0,0.0399800099950025,4.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=1).,1.0,,-4,gpt-oss (20.9 B),5.5,1.0,4.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.187).,1.0,,-1,llama 3.2 (3.2 B),1.0,0.18690654672663667,5.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,True,decreasing,Evidence for decreasing DAG Graph Edit Distance with higher example count (p=0.049).,1.0,,-2,llama 3.1 (8 B),0.0,0.04897551224387806,5.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.254).,1.0,,-4,gpt-oss (20.9 B),1.5,0.2543728135932034,5.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,True,decreasing,Evidence for decreasing DAG Graph Edit Distance with higher example count (p=0.047).,1.0,,-1,llama 3.2 (3.2 B),0.0,0.04697651174412794,6.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.503).,1.0,,-2,llama 3.1 (8 B),2.5,0.5027486256871564,6.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.246).,1.0,,-4,gpt-oss (20.9 B),1.5,0.2463768115942029,6.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.17).,1.0,,-1,llama 3.2 (3.2 B),1.0,0.17041479260369816,7.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.38).,1.0,,-2,llama 3.1 (8 B),2.0,0.3798100949525237,7.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.485).,1.0,,-3,mistral-nemo (12.2 B),2.5,0.4847576211894053,7.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.246).,1.0,,-4,gpt-oss (20.9 B),1.5,0.24587706146926536,7.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,True,decreasing,Evidence for decreasing DAG Graph Edit Distance with higher example count (p=0.042).,1.0,,-1,llama 3.2 (3.2 B),0.0,0.041979010494752625,8.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,True,decreasing,Evidence for decreasing DAG Graph Edit Distance with higher example count (p=0.039).,1.0,,-2,llama 3.1 (8 B),0.0,0.038980509745127435,8.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.163).,1.0,,-4,gpt-oss (20.9 B),1.0,0.1629185407296352,8.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.184).,1.0,,-1,llama 3.2 (3.2 B),1.0,0.18440779610194902,9.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.363).,1.0,,-2,llama 3.1 (8 B),2.0,0.3633183408295852,9.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.489).,1.0,,-4,gpt-oss (20.9 B),2.5,0.48875562218890556,9.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,True,decreasing,Evidence for decreasing DAG Graph Edit Distance with higher example count (p=0.0365).,1.0,,-1,llama 3.2 (3.2 B),0.0,0.03648175912043978,10.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,True,decreasing,Evidence for decreasing DAG Graph Edit Distance with higher example count (p=0.0395).,1.0,,-2,llama 3.1 (8 B),0.0,0.03948025987006497,10.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.242).,1.0,,-3,mistral-nemo (12.2 B),1.5,0.24187906046976512,10.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.085).,1.0,,-4,gpt-oss (20.9 B),0.5,0.08495752123938032,10.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,True,decreasing,Evidence for decreasing DAG Graph Edit Distance with higher example count (p=0.042).,1.0,,-1,llama 3.2 (3.2 B),0.0,0.041979010494752625,11.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.0935).,1.0,,-2,llama 3.1 (8 B),0.5,0.09345327336331834,11.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.249).,1.0,,-3,mistral-nemo (12.2 B),1.5,0.2493753123438281,11.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.26).,1.0,,-4,gpt-oss (20.9 B),1.5,0.26036981509245377,11.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.074).,1.0,,-1,llama 3.2 (3.2 B),0.5,0.07396301849075462,12.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.0765).,1.0,,-2,llama 3.1 (8 B),0.5,0.07646176911544228,12.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.248).,1.0,,-3,mistral-nemo (12.2 B),1.5,0.2478760619690155,12.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.26).,1.0,,-4,gpt-oss (20.9 B),1.5,0.26036981509245377,12.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.161).,1.0,,-1,llama 3.2 (3.2 B),1.0,0.16141929035482258,13.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,True,decreasing,Evidence for decreasing DAG Graph Edit Distance with higher example count (p=0.0435).,1.0,,-2,llama 3.1 (8 B),0.0,0.043478260869565216,13.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.238).,1.0,,-3,mistral-nemo (12.2 B),1.5,0.23788105947026486,13.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.092).,2.0,,-1,llama 3.2 (3.2 B),0.5,0.09195402298850575,1.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.0975).,2.0,,-2,llama 3.1 (8 B),0.5,0.09745127436281859,1.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.172).,2.0,,-3,mistral-nemo (12.2 B),1.0,0.1724137931034483,1.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.478).,2.0,,-4,gpt-oss (20.9 B),2.5,0.4782608695652174,1.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.494).,2.0,,-1,llama 3.2 (3.2 B),2.5,0.4942528735632184,2.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.092).,2.0,,-2,llama 3.1 (8 B),0.5,0.09195402298850575,2.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.087).,2.0,,-3,mistral-nemo (12.2 B),0.5,0.08695652173913043,2.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.161).,2.0,,-4,gpt-oss (20.9 B),1.0,0.16091954022988506,2.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.157).,2.0,,-1,llama 3.2 (3.2 B),1.0,0.15742128935532235,3.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.656).,2.0,,-2,llama 3.1 (8 B),3.0,0.655672163918041,3.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.0775).,2.0,,-3,mistral-nemo (12.2 B),0.5,0.07746126936531735,3.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.231).,2.0,,-4,gpt-oss (20.9 B),1.5,0.23138430784607697,3.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.245).,2.0,,-1,llama 3.2 (3.2 B),1.5,0.2448775612193903,4.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.0935).,2.0,,-2,llama 3.1 (8 B),0.5,0.09345327336331834,4.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.091).,2.0,,-3,mistral-nemo (12.2 B),0.5,0.09095452273863068,4.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.249).,2.0,,-4,gpt-oss (20.9 B),1.5,0.24887556221889057,4.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.252).,2.0,,-1,llama 3.2 (3.2 B),1.5,0.2518740629685157,5.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.161).,2.0,,-2,llama 3.1 (8 B),1.0,0.16091954022988506,5.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.0775).,2.0,,-3,mistral-nemo (12.2 B),0.5,0.07746126936531735,5.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.246).,2.0,,-4,gpt-oss (20.9 B),1.5,0.2463768115942029,5.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.243).,2.0,,-1,llama 3.2 (3.2 B),1.5,0.2433783108445777,6.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.175).,2.0,,-2,llama 3.1 (8 B),1.0,0.17541229385307347,6.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.266).,2.0,,-3,mistral-nemo (12.2 B),1.5,0.26636681659170414,6.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.257).,2.0,,-4,gpt-oss (20.9 B),1.5,0.25737131434282856,6.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.255).,2.0,,-1,llama 3.2 (3.2 B),1.5,0.25487256371814093,7.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.18).,2.0,,-2,llama 3.1 (8 B),1.0,0.18040979510244878,7.0
dag_graph_edit_distance,DAG Graph Edit Distance,jonckheere_terpstra,example_count,example_count_vs_dag_graph_edit_distance,,,,,False,decreasing,No significant monotonic decreasing trend detected (p=0.079).,2.0,,-3,mistral-nemo (12.2 B),0.5,0.07896051974012994,7.0
