ordering_levels,total_samples,jt_statistic,jt_pvalue,supports_expected,expected_direction,finding,trend_variable,trend_label,value_variable,value_label,scenario,example_count,model_id,model_name
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,20.0,0.0029985007496251873,True,increasing,Evidence for increasing Dependency Precision with higher rule count (p=0.003).,rule_count,rule count,edge_precision,Dependency Precision,1,3,-1,llama 3.2 (3.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,28.0,0.010494752623688156,True,increasing,Evidence for increasing Dependency Precision with higher rule count (p=0.0105).,rule_count,rule count,edge_precision,Dependency Precision,1,3,-2,llama 3.1 (8 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,49.0,0.9865067466266867,False,increasing,No significant monotonic increasing trend detected (p=0.987).,rule_count,rule count,edge_precision,Dependency Precision,1,3,-3,mistral-nemo (12.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,42.0,0.7386306846576711,False,increasing,No significant monotonic increasing trend detected (p=0.739).,rule_count,rule count,edge_precision,Dependency Precision,1,3,-4,gpt-oss (20.9 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,49.5,0.9695152423788106,False,increasing,No significant monotonic increasing trend detected (p=0.97).,rule_count,rule count,edge_precision,Dependency Precision,2,0,-1,llama 3.2 (3.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,30.0,0.11744127936031984,False,increasing,No significant monotonic increasing trend detected (p=0.117).,rule_count,rule count,edge_precision,Dependency Precision,2,0,-2,llama 3.1 (8 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,50.5,0.9780109945027486,False,increasing,No significant monotonic increasing trend detected (p=0.978).,rule_count,rule count,edge_precision,Dependency Precision,2,0,-3,mistral-nemo (12.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,33.0,0.08095952023988005,False,increasing,No significant monotonic increasing trend detected (p=0.081).,rule_count,rule count,edge_precision,Dependency Precision,2,0,-4,gpt-oss (20.9 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,21.0,0.010994502748625687,True,increasing,Evidence for increasing Dependency Precision with higher rule count (p=0.011).,rule_count,rule count,edge_precision,Dependency Precision,2,1,-1,llama 3.2 (3.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,32.0,0.19440279860069964,False,increasing,No significant monotonic increasing trend detected (p=0.194).,rule_count,rule count,edge_precision,Dependency Precision,2,1,-2,llama 3.1 (8 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,43.5,0.7451274362818591,False,increasing,No significant monotonic increasing trend detected (p=0.745).,rule_count,rule count,edge_precision,Dependency Precision,2,1,-3,mistral-nemo (12.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,39.0,0.5262368815592204,False,increasing,No significant monotonic increasing trend detected (p=0.526).,rule_count,rule count,edge_precision,Dependency Precision,2,1,-4,gpt-oss (20.9 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,30.5,0.06146926536731634,False,increasing,No significant monotonic increasing trend detected (p=0.0615).,rule_count,rule count,edge_precision,Dependency Precision,2,2,-1,llama 3.2 (3.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,35.0,0.22288855572213892,False,increasing,No significant monotonic increasing trend detected (p=0.223).,rule_count,rule count,edge_precision,Dependency Precision,2,2,-2,llama 3.1 (8 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,49.0,0.9565217391304348,False,increasing,No significant monotonic increasing trend detected (p=0.957).,rule_count,rule count,edge_precision,Dependency Precision,2,2,-4,gpt-oss (20.9 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,25.0,0.021989005497251374,True,increasing,Evidence for increasing Dependency Precision with higher rule count (p=0.022).,rule_count,rule count,edge_precision,Dependency Precision,2,3,-1,llama 3.2 (3.2 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,39.0,0.5217391304347826,False,increasing,No significant monotonic increasing trend detected (p=0.522).,rule_count,rule count,edge_precision,Dependency Precision,2,3,-2,llama 3.1 (8 B)
"1,2,3,4,5,6,7,8,9,10,11,12,13",13,33.5,0.2273863068465767,False,increasing,No significant monotonic increasing trend detected (p=0.227).,rule_count,rule count,edge_precision,Dependency Precision,2,3,-4,gpt-oss (20.9 B)
